PROYECTO S.O.A.L Sistema del Observador Para el Alumno;;;;;;; ;;;;
LISTA DE CHEQUEO AMPLIADA PARA SEGUIMIENTO DE PROYECTOS DE SOFTWARE;;;;;;; ;;;;
Categoría;Ítem a revisar;Estado (OK / X / %);Observaciones;Fecha de Revisión;Evidencia;integrantes:;FICHA:2924785;;;;
1. Requisitos y planificación;Objetivo del proyecto definido claramente;ok;Este sistema estará dirigido inicialmente a instituciones educativas de básica y media. Se prioriza la facilidad de uso, la seguridad de los datos y la integración con módulos de registro de asistencia y observaciones;04-nov;Requisitos funcionales y no funcionales;ABEL MORENO, JUAN LIZCANO,BRAJHAN MEDINA, MARTA LILIANA;;;;;
;Historias de usuario o casos de uso redactados;ok;Se redactaron todas las historias de usuario y se documentaron los casos de uso principales;04-nov;HistoriasUsuario.docx / CasosDeUso.pdf;;;;;;
;Backlog de funcionalidades priorizadas;ok;Se priorizaron todas las funcionalidades según su criticidad para la entrega;04/11/2025;Backlog.xlsx;;;;;;
;Metodología ágil utilizada (Scrum, Kanban);ok;Se adoptó Scrum con sprints de 2 semanas y reuniones diarias;04/11/2025;reuniones.xlsx;;;;;;
;Planificación de sprints o tareas;ok;Se planifican las tareas usando ClickUp, con asignación de responsables y fechas límite;04/11/2025;Captura de pantalla ClickUp;;;;;;
2. Arquitectura del software;Uso de una arquitectura clara (MVC, 3 capas, hexagonal, etc.);ok;Se utilizó arquitectura MVC, separando claramente modelos, vistas y controladores;04/11/2025;Diagrama de arquitectura o código fuente;;;;;;
;Separación clara entre capas (modelo, lógica, presentación);ok;Se implementó separación estricta entre la capa de datos (modelos), la lógica de negocio (servicios/controladores) y la presentación (frontend);04/11/2025;Estructura de carpetas y diagrama de capas;;;;;;
;Backend desacoplado del frontend mediante API REST;ok;Se desarrolló el backend con Node.js/Express y el frontend con React, comunicándose únicamente mediante endpoints REST.;04/11/2025;Capturas de Postman y consumo de API desde React;;;;;;
;Uso de controladores, servicios y repositorios;ok;"Controladores manejan las solicitudes, los servicios contienen la lógica y los modelos acceden a la base de datos; separación clara de responsabilidades.
";04/11/2025;Captura de estructura de carpetas o ejemplo de código;;;;;;
;Aplicación de principios SOLID en la estructura del código;ok;Se aplican principios SOLID: cada clase tiene una única responsabilidad (S), abierta a extensión y cerrada a modificación (O), respetando Liskov (L), usando interfaces específicas (I) e inyección de dependencias (D).;04/11/2025;;;;;;;
3. Patrones de diseño;Aplicación de al menos un patrón de diseño (Factory, Singleton, Repository, etc.) donde sea pertinente;ok;Se aplicó el patrón Repository en los servicios para desacoplar la lógica de negocio del acceso a datos.;04/11/2025;Uso de patrón Repository en servicios;;;;;;
;Patrón DTO (Data Transfer Object) para respuestas;ok;Se implementaron DTOs para estructurar y estandarizar las respuestas del backend.;04/11/2025;Respuestas de la API formateadas con DTOs;;;;;;
;Uso de middleware/interceptores para validación o logging;ok;Se implementaron middlewares para manejo de errores, validaciones y logging de solicitudes.;04/11/2025;Logs de solicitudes y validaciones mediante middleware;;;;;;
4. Buenas prácticas en el backend;Formato uniforme de respuesta de API (status, message, data, error);ok;Todas las respuestas de la API siguen el formato { status, message, data, error };04/11/2025;"[  {    ""id_grado"": 1,    ""nombre_grado"": ""Primero A - Mañana"",    ""descripcion"": ""Grado Primero, jornada Mañana, salón 101""  },";;;;;;
;Manejo centralizado de errores (try/catch + middleware o interceptores);ok;Todos los errores se capturan y gestionan mediante middleware o interceptores, evitando duplicación de código.;04/11/2025;Ejemplo de controlador configuracionUsuarioController.js mostrando manejo centralizado de errores mediante try/catch y respuestas con status HTTP adecuado;;;;;;
;Validación de entradas (DTOs, schemas, JOI, class-validator, etc.);ok;"Se validan los datos de entrada en controladores y servicios antes de procesarlos; previene datos inválidos y posibles errores de ejecución.";04/11/2025;Ejemplo de controlador configuracionUsuarioController.js mostrando manejo centralizado de errores mediante try/catch y respuestas con status HTTP adecuado;;;;;;
;Uso correcto de códigos HTTP (200, 201, 400, 404, 500, etc.);ok;Los endpoints responden con códigos HTTP adecuados según la acción realizada;04/11/2025;Uso de códigos HTTP adecuados: 200 para éxito, 404 para no encontrado, 500 para error interno;;;;;;
;Modularidad del código y reutilización de funciones;ok;"Cada funcionalidad está separada en controladores, servicios y modelos; funciones comunes reutilizadas en servicios";04/11/2025;Controladores, servicios y modelos separados para mantener modularidad y permitir reutilización;;;;;;
;Separación de lógica de negocio del acceso a datos;ok;"La lógica de negocio está en los servicios y el acceso a la base de datos se hace solo desde los modelos; evita mezclar responsabilidades";04/11/2025;Servicios manejan la lógica, modelos manejan consultas a la base de datos;;;;;;
5. Base de datos;Modelo ER diseñado y actualizado;ok;El modelo entidad-relación está completo y refleja todas las tablas y relaciones del sistema, incluyendo claves primarias y foráneas;04/11/2025;Diagrama ER actualizado que muestra todas las entidades y relaciones;;;;;;
;Uso de llaves primarias y foráneas correctamente;ok;Todas las tablas tienen su clave primaria definida y las relaciones entre tablas se implementan mediante claves foráneas adecuadas;04/11/2025;Scripts SQL de creación de tablas mostrando PK y FK correctamente definidas;;;;;;
;Uso de ORMs (Sequelize, TypeORM, Prisma) o SQL estructurado limpio;ok;Sequelize utilizado correctamente con modelos claros, relaciones definidas y consultas estructuradas sin redundancias;04/11/2025;Archivos de modelos en models/ y ejemplos de consultas usando Sequelize;;;;;;
;Migraciones o scripts para creación de base de datos;ok;Se incluyen scripts y migraciones para crear las tablas y relaciones correctamente;04/11/2025;Carpeta migrations/ o scripts SQL utilizados para inicializar la base de datos;;;;;;
;Relación clara entre entidades y sus modelos;ok;Las entidades del modelo ER se reflejan correctamente en los modelos del ORM, con asociaciones definidas (hasMany, belongsTo, etc.);04/11/2025;Modelos en models/ mostrando relaciones entre tablas;;;;;;
6. Frontend;Arquitectura de componentes o páginas clara;ok;La aplicación React está organizada en componentes reutilizables y páginas separadas por funcionalidades.;04/11/2025;Estructura de carpetas en src/componentes/ y src/pages/;;;;;;
;Consumo eficiente de la API (fetch, axios, async/await);ok;Se usan axios con async/await para llamadas a API, manejo correcto de tokens y errores.;04/11/2025;Código en componentes React (useEffect, axios);;;;;;
;Manejo de estado (useState, Redux, Pinia, etc.) según el framework;ok;"Se utiliza useState y useReducer en componentes; estado global no necesario por tamaño del proyecto.";04/11/2025;Archivos de React mostrando hooks de estado;;;;;;
;Validación de formularios en el cliente;ok;Todos los formularios incluyen validaciones de campos requeridos, formatos y límites de caracteres.;04/11/2025;Componentes EnviarPQR.jsx y EnviarJustificacion.jsx;;;;;;
;Mensajes claros de error y éxito al usuario;ok;Se muestran alertas y mensajes con Swal o alert bootstrap según acción.;04/11/2025;Ejemplo: Swal.fire en EnviarPQR.jsx;;;;;;
;Responsividad (uso de media queries, flexbox/grid, frameworks como Bootstrap o Tailwind);ok;Se utiliza Bootstrap para diseño responsivo, componentes ajustables a diferentes tamaños de pantalla.;04/11/2025;Clases de Bootstrap en formularios y contenedores;;;;;;
7. Estándares de respuesta (backend);Todas las respuestas usan un formato estándar;ok;Respuestas de API uniformes para éxito y error, consistente en todo el backend.;04/11/2025;Ejemplo en configuracionUsuarioController.js;;;;;;
;{ status, message, data, error };ok;Todos los errores se loguean en consola, se devuelve mensaje al cliente sin exponer stack en producción.;04/11/2025;try/catch y console.error en controladores;;;;;;
;Los errores manejan trazabilidad (logging, timestamp, stacktrace en desarrollo);ok;Se filtran los datos sensibles y se envía únicamente lo requerido por el frontend.;04/11/2025;Usuario.findByPk con atributos específicos;;;;;;
;Se devuelve solo lo necesario (evitar sobrecargar la respuesta);ok;Pruebas básicas implementadas en Jest para rutas críticas.;04/11/2025;Archivos de test __tests__/;;;;;;
8. Pruebas;Pruebas unitarias en backend (Jest, Mocha, etc.);ok;Se realizaron pruebas manuales documentadas en Notion/Trello para cada endpoint y formulario.;04/11/2025;Documentación de pruebas en Notion;;;;;;
;Pruebas manuales documentadas con escenarios;ok;"Todos los formularios envían y reciben datos correctamente; persistencia en base de datos confirmada.";04/11/2025;Pruebas en Postman y funcionalidad en navegador;;;;;;
;Flujo completo funcional de extremo a extremo (frontend-backend-db);ok;Formularios y endpoints funcionan correctamente, datos persisten en la base de datos.;04/11/2025;Pruebas en Postman y navegador;;;;;;
9. Herramientas y DevOps;Uso de Git con ramas (main, dev, feature/*);ok;"Ramas organizadas para desarrollo y features; main estable.";04/11/2025;Repositorio GitHub con ramas visibles;;;;;;
;Commits significativos y frecuentes;ok;Mensajes claros describiendo cambios, commits frecuentes para cada feature.;04/11/2025;Historial de commits en GitHub;;;;;;
;CI/CD básico (GitHub Actions, Vercel, Netlify, etc.);ok;"Deploy automático a Vercel para frontend y servidor en Railway; pruebas básicas en CI.";04/11/2025;Configuración de GitHub Actions y despliegues;;;;;;
;Entornos separados para desarrollo y producción;ok;Variables de entorno diferenciadas, backend y frontend apuntando a distintos entornos.;04/11/2025;.env dev y producción, configuración de Vercel/Railway;;;;;;
;Uso de variables de entorno seguras (.env);ok;Tokens y credenciales almacenadas en .env, no expuestas en el repositorio.;04/11/2025;.env local y variables de entorno en Vercel/Railway;;;;;;
10. Documentación;README con descripción, instalación, stack tecnológico y cómo correr backend/frontend;ok;README completo con pasos claros para instalar y ejecutar el proyecto.;04/11/2025;Archivo README.md en repositorio;;;;;;
;Documentación de la API (Swagger, Postman, Redoc);ok;"Endpoints documentados en Postman y exportados; incluye ejemplos de request/response.";04/11/2025;Colección Postman exportada;;;;;;
;Diagrama de arquitectura (opcional);ok;Diagrama de arquitectura en tres capas (Frontend, Backend y Base de datos) que muestra la interacción entre roles, módulos y flujo de datos mediante API REST y Sequelize.;04/11/2025;imagen del diagrama;;;;;;
;Guía para contribuir o entender el código;ok;La guía explica claramente la estructura del proyecto, el proceso de instalación, y las pautas para contribuir. Se recomienda mantenerla actualizada si se agregan nuevas funciones o módulos.;04/11/2025;archivo txt que esta en la capeta documentacion;;;;;;
11. Despliegue;Backend desplegado correctamente (Railway, Render, etc.); ;;;;;;;;;
;Frontend desplegado correctamente (Vercel, Netlify, etc.); ;;;;;;;;;
;API y frontend funcionan en conjunto en producción; ;;;;;;;;;
;Base de datos alojada en entorno accesible (ElephantSQL, PlanetScale, Supabase, etc.); ;;;;;;;;;
12. Reflexión y aprendizaje;Retroalimentación recibida e integrada; ;;;;;;;;;
;Reflexión de cada integrante sobre su rol y aprendizajes; ;;;;;;;;;
;Formato uniforme de respuesta en backend (ejemplo JSON); ;;;;;;;;;
