registrar asistencia coordinador/profesor;;;;;;;
;;;;;;;
ID Flujo;Tipo;Paso a Paso;Resultado Esperado;Sistema;Actor;Estado;
HU-RA-01;Flujo Normal;Profesor abre la pantalla de registrar asistencia;Se cargan los grados disponibles desde el backend;Selector de grados visible y funcional;Profesor/coordinador;OK;
HU-RA-02;Flujo Normal;Profesor selecciona un grado;Backend devuelve los estudiantes de ese grado, se inicializan asistencias y observaciones;Tabla con estudiantes visible y lista para marcar asistencias;Profesor/coordinador;OK;
HU-RA-03;Flujo Alterno;No hay estudiantes en el grado seleccionado;Mensaje: “No hay estudiantes en este grado.”;Evita mostrar tabla vacía;Profesor/coordinador;X;
HU-RA-04;Flujo Normal;Profesor marca un estado de asistencia (Asistió, No asistió, Justificado, Otro);Se guarda en el estado;Visualización clara del estado seleccionado;Profesor/coordinador;OK;
asistencias , botón cambia de color y emoji;;;;;;;
;;;;;;;
HU-RA-05;Flujo Normal;Profesor escribe una observación;Se guarda en el estado;Campo editable, texto reflejado inmediatamente;Profesor/coordinador;OK;
;;;observaciones;;;;
HU-RA-06;Flujo Normal;Profesor presiona “ Guardar Asistencia”;Se verifica que haya al menos una asistencia marcada;Si hay asistencias, se muestra modal de confirmación;Profesor/coordinador;OK;
HU-RA-07;Flujo Alterno;No hay asistencias marcadas;Mensaje: “ Debes marcar al menos una asistencia.”;Modal de confirmación no se abre;Profesor/coordinador;X;
HU-RA-08;Flujo Normal;Profesor confirma en modal;Payload se envía al backend con token de autenticación;Backend guarda asistencias correctamente;Profesor/coordinador;OK;
HU-RA-09;Flujo Alterno;Token no existe o es inválido;Mensaje: “ No estás autenticado. Inicia sesión.”;Guardado cancelado;Profesor/coordinador;X;
HU-RA-10;Flujo Alterno;Error de backend;Mensaje: “Hubo un error al registrar las asistencias.”;Guardado cancelado, modal cerrado;Profesor/coordinador;X;
HU-RA-11;Flujo Normal;Backend responde correctamente;Mensaje: “ Asistencias registradas correctamente.”;Modal cerrado, estado actualizado;Profesor/coordinador;OK;
HU-RA-12;Flujo Normal;Profesor cambia a “ Listar Asistencias”;Componente;Profesor puede revisar asistencias previamente registradas;Profesor/coordinador;OK;
ListarAsistencias se muestra, vista de registrar oculta;;;;;;;
;;;;;;;
HU-RA-13;Flujo Alterno;Error al cargar grados o estudiantes;Mensaje tipo error visible: “No se pudieron cargar los grados/estudiantes.”;Evita mostrar dropdown o tabla vacía;Profesor/coordinador;X;
HU-RA-14;Flujo Normal;Cargando datos (grados o estudiantes);Mensaje tipo loading visible: “Cargando estudiantes…”;Indica que el sistema está procesando la información;Profesor/coordinador;OK;
;;;;;;;
Listar Asistencias con Filtros;;;;;;;
;;;;;;;
ID;Acción del Usuario;Respuesta del Sistema;Resultado Esperado;estado;;;
HU-LA-01;El profesor abre la pantalla de registro de asistencias;El sistema muestra todos los registros existentes;Se visualiza una tabla con las asistencias de todos los estudiantes;OK;;;
HU-LA-02;El profesor ingresa filtros como nombre del estudiante, profesor, grado, fecha o estado;El sistema muestra solo las asistencias que cumplen con los filtros;La tabla se actualiza mostrando únicamente los registros que coinciden;OK;;;
HU-LA-03;No existen registros que cumplan los filtros;El sistema informa: “No se encontraron asistencias con los filtros seleccionados ”;El profesor sabe que no hay registros disponibles;X;;;
HU-LA-04;Los registros tienen diferentes formatos de información;El sistema organiza y muestra toda la información de forma uniforme;La tabla se ve consistente, con columnas de fecha, estudiante, profesor, grado, estado y observación;OK;;;
HU-LA-05;El usuario no tiene permiso para ver las asistencias;El sistema muestra un mensaje: “No autorizado. Por favor inicia sesión nuevamente.” y un botón para iniciar sesión;El profesor puede iniciar sesión de nuevo para acceder a las asistencias;X;;;
HU-LA-06;Ocurre un error al consultar las asistencias;El sistema muestra un mensaje claro: “No se encontraron registros” o “Ocurrió un error. Intenta más tarde.”;El usuario entiende que hubo un problema y no se muestran datos incorrectos;X;;;
HU-LA-07;Se cargan las asistencias;El sistema organiza los datos en una tabla que se puede recorrer si hay muchos registros;El profesor puede ver fácilmente todas las asistencias con sus detalles;OK;;;
HU-LA-08;El usuario escribe en los filtros de búsqueda;El sistema espera un momento antes de actualizar la tabla para que no se haga demasiada actividad;La tabla se actualiza suavemente y el usuario ve solo los registros que coinciden con su búsqueda;OK;;;
;;;;;;;
